id,type,category,categoryName,title,cover,bilibiliSrc,audioSrc,episodeDate,duration,desc,activity,credits
1,video,original,原创作品,爆肝559天，一群高中生将治愈故事拍成了短片｜树莓社原创微电影｜识茶记,276bb389037217dcacc5975db05b37aafb6fe791.jpg,//player.bilibili.com/player.html?isOutside=true&aid=642082238&bvid=BV1EY4y1V7LL&cid=734935772&p=1,,2022年6月1日,8:34,老墙业已斑驳，树干历经沧桑，惟新刷上漆的长椅显得格外鲜艳。而每当与好友一起喝着奶茶，走过树荫下静坐的长椅，仿佛总能看见四个坐在椅子上的少年、听见剧组成员吵吵闹闹的欢笑、想起那一段名为「识茶记」的、由奶茶系起的动人故事……\n主题曲：涙そうそう,2020-2021年苏州中学树莓社影视作品代表作。,导演:李令剑|编剧:陈天一|制片:沈孙丰|监制:马雨璋|选角导演:陈天一、徐杰、彭嘉仪、沈孙丰、李令剑、谭嘉怡|场记:徐皓玥、彭嘉仪、任好|演员:江昊林、金心远、沈彦希、钱宸、叶卓、张研南|摄影指导:沈孙丰|摄影:沈孙丰、马雨璋、朱奕、叶卓|摄影助理:赵晴柔|灯光:叶卓|录音:何怿阳、张研南|混音:顾衡庭|美术:彭嘉仪、虞思辰|化妆:李文博|剧照:朱奕|剪辑:沈孙丰、江长坤、刘欣怡|调色:沈孙丰|场务:范奕凡、杨乐天
2,audio,news,校园新闻,问道山下 · 2026第01期,传媒中心.jpg,,broadcast/问道山下_2026第01期_20260430-播客版.mp3,2026年4月30日（12:10-12:25）,15分钟,本期为《问道山下》2026 年首期节目，聚焦苏中春日校园生活，播报“伟民杯”高一排球赛、高二足球班赛等校园赛事，纪实高一春季研学（苏州科技馆、狮子山）实践历程，分享根与芽社公益捐书、高中生创新能力大赛华东赛区复赛等校园动态，搭配法语音乐剧《红与黑》经典曲目，展现苏中少年青春风貌与成长思考，传递温暖向上的校园力量。,【筹划时间】4月15日至4月28日\n【播出时间】4月30日中午（计划12:10-12:25）\n【播出形式】在苏州中学校园内道路旁的音响、所有年级教室内播放音频\n【歌曲投稿】Écouter son cœur,撰稿:孙夕涵|本期主持:孙夕涵、刘铭泽|后期制作:黄柯睿、沈孙丰|制片:郎致远|总制片:雒安琪|技术顾问:沈孙丰、叶卓、顾衡庭|联合出品:苏州中学学生传媒中心、苏州中学树莓社|指导老师:刘勤、李超、崔峥嵘
3,audio,news,校园新闻,问道山下 · 2026第02期,传媒中心.jpg,,broadcast/问道山下_2026第02期_20260515-播客版.mp3,2026年5月15日（12:10-12:25）,15分钟,本期为《问道山下》2026 年第 02 期节目，聚焦五月苏中校园生活，播报“拾光筑梦，乐动青春”原创校园歌曲大赛盛况，纪实高二南浔古镇研学与企业实践历程，分享校园摄影大师赛预告、足球赛进展及心理剧赛事动态，聚焦期中考试专题并致敬五四青年节，搭配原创歌曲《玉兰白》等曲目，展现苏中少年青春活力与成长思考，传递温暖昂扬的校园力量。,【筹划时间】5月1日至5月13日\n【播出时间】5月15日中午（计划12:10-12:25）\n【播出形式】在苏州中学校园内道路旁的音响、所有年级教室内播放音频,撰稿:孙夕涵、刘铭泽|本期主持:孙夕涵、徐欣彤|后期制作:黄柯睿、沈孙丰|制片:郎致远|总制片:雒安琪|技术顾问:沈孙丰、叶卓|联合出品:苏州中学学生传媒中心、苏州中学树莓社|指导老师:刘勤、李超、崔峥嵘
4,audio,news,校园新闻,问道山下 · 2026第03期,传媒中心.jpg,,broadcast/问道山下_2026第03期_20260529-播客版.mp3,2026年5月29日（12:10-12:25）,15分钟,本期为《问道山下》2026 年第 03 期节目，播报高一羽毛球班赛、原创心理剧预赛、寻找好声音海选展演及第十一届诗词大会总决赛等校园赛事动态，聚焦高考前夕为学长加油助威的特色板块，搭配《M.O》《去明天》等曲目，展现苏中少年青春活力与温暖情谊，传递昂扬向上的校园力量。,【筹划时间】5月14日至5月28日\n【播出时间】5月29日中午（计划12:10-12:25）\n【播出形式】在苏州中学校园内道路旁的音响、所有年级教室内播放音频\n【歌曲投稿】M.O、《去明天》,撰稿:孙夕涵、刘铭泽|本期主持:郎致远、丁俊熙|后期制作:黄柯睿、沈孙丰|制片:郎致远|总制片:雒安琪|技术顾问:沈孙丰、叶卓|联合出品:苏州中学学生传媒中心、苏州中学树莓社|指导老师:刘勤、李超、崔峥嵘
5,audio,news,校园新闻,问道山下 · 2026第04期,传媒中心.jpg,,broadcast/问道山下_2026第01期_20260401-播客版.mp3,2026年6月5日（12:10-12:25）,15分钟,本期为《问道山下》2026 年第 04 期节目，播报苏中好声音决赛、高一原创心理剧大赛决赛、高二足球决赛及高一羽毛球班级赛等校园赛事结果，聚焦期末考试祝福特色板块，搭配好声音决赛现场录音及 Frank Ocean 等曲目，展现苏中少年青春活力与温暖情谊，为本学期画上圆满句号。,【筹划时间】5月25日至6月4日\n【播出时间】6月5日中午（计划12:10-12:25）\n【播出形式】在苏州中学校园内道路旁的音响、所有年级教室内播放音频\n【歌曲投稿】Thinkin Bout You、好声音决赛现场录音,撰稿:孙夕涵、刘铭泽|本期主持:殷豪程、韩咏延|特色板块主持:夏攸然、李思萱|后期制作:黄柯睿、沈孙丰|制片:郎致远|总制片:雒安琪|技术顾问:沈孙丰、叶卓|联合出品:苏州中学学生传媒中心、苏州中学树莓社|指导老师:刘勤、李超、崔峥嵘
6,video,events,校园活动,江苏省苏州中学2026届毕业典礼演职人员表,covers/a844e52377348047e56580dc6841ce457c80c8b9.jpg,//player.bilibili.com/player.html?isOutside=true&aid=116797189656091&bvid=BV1ew7g6YE7v&cid=39331103199&p=1,,2026年6月23日,2:51,,,
7,video,music,音乐现场,歌曲《热烈盛开》 | 苏州中学2026届毕业典礼节目,covers/2a5238d6ad1dd3d002504306d9a22cea7b9c221a.jpg,//player.bilibili.com/player.html?isOutside=true&aid=116792206886376&bvid=BV1po7P6aE3H&cid=39306987085&p=1,,2026年6月22日,4:09,,,
8,video,dance,舞蹈表演,舞蹈《Dynamite》 | 苏州中学2026届毕业典礼节目,covers/ea0052e9a370f3d13f7039b8aec54713fc2fb307.jpg,//player.bilibili.com/player.html?isOutside=true&aid=116791921674450&bvid=BV1mc7w6wEpR&cid=39303842803&p=1,,2026年6月22日,3:36,,,
9,video,events,校园活动,苏州中学2026“正谊杯”初中生辩论赛圆满收官｜6月13日决赛活动精彩集锦,covers/1df47d0183952aa6d4bff1f0e7bce87e8b3a6317.jpg,//player.bilibili.com/player.html?isOutside=true&aid=116754961401713&bvid=BV1V2jP6LE8b&cid=39144524787&p=1,,2026年6月16日,1:34,,,视频制作:苏州中学树莓社|摄影:沈孙丰、周熠嘉、郎致远、刘明辉
10,video,events,校园活动,2026年度校园心理剧大赛决赛作品 高一9班《无解之题》,covers/831695463df579332b50554e426e28d89d9f9c91.jpg,//player.bilibili.com/player.html?isOutside=true&aid=116692147570881&bvid=BV16KEP68ER9&cid=38858329686&p=1,,2026年6月4日,10:26,,,
